CD8Tcell_Combes22	MCTP2
CD8Tcell_Combes22	NAA40
CD8Tcell_Combes22	NKG7
CD8Tcell_Combes22	PSMB9
CD8Tcell_Combes22	RAD51
CD8Tcell_Combes22	SERP2
CD8Tcell_Combes22	SETBP1
CD8Tcell_Combes22	TMCC2
CD8Tcell_Combes22	TRPS1
CD8Tcell_Combes22	TTC24
CD8Tcell_Combes22	ULBP3
CD8Tcell_Combes22	VCAM1
CD8Tcell_Combes22	WNT9A
CD8Tcell_Combes22	YARS1
CD8Tcell_Combes22	ZNF696
CD8Tcell_sc	CD8A
CD8Tcell_sc	CD8B
CMCD4Tcell_sc	AP3M2
CMCD4Tcell_sc	AQP3
CMCD4Tcell_sc	CD40LG
CMCD4Tcell_sc	PKIA
CMCD4Tcell_sc	SERINC5
CMCD4Tcell_sc	STING1
CMCD4Tcell_sc	TNFRSF4
Cell_cycle	ANAPC2
Cell_cycle	CCNB1
Cell_cycle	CDC20
Cell_cycle	CDC25A
Cell_cycle	CDC45
Cell_cycle	CDC6
Cell_cycle	CDKN2B
Cell_cycle	E2F1
Cell_cycle	E2F2
Cell_cycle	ESPL1
Cell_cycle	MCM2
Cell_cycle	MCM4
Cell_cycle	MCM7
Cell_cycle	PKMYT1
Cell_cycle	TFDP1
Cell_cycle	TTK
Cell_cycle_reg	ATM
Cell_cycle_reg	CCND1
Cell_cycle_reg	CCNE1
Cell_cycle_reg	CDKN1A
Cell_cycle_reg	CDKN2A
Cell_cycle_reg	E2F3
Cell_cycle_reg	FBXW7
Cell_cycle_reg	MDM2
Cell_cycle_reg	RB1
Cell_cycle_reg	TP53
Cholangiocyte_sc	CITED4
Cholangiocyte_sc	CLDN4
Cholangiocyte_sc	EPCAM
Cholangiocyte_sc	FGFR2
Cholangiocyte_sc	KRT19
Cholangiocyte_sc	KRT7
Cholangiocyte_sc	MMP7
Cholangiocyte_sc	SFRP5
Cholangiocyte_sc	SLC12A2
Cholangiocyte_sc	SOX9
Cholangiocyte_sc	TFF1
Cholangiocyte_sc	TFF2
ClassMonocyte_Combes22	FCN1
ClassMonocyte_Combes22	LYZ
ClassMonocyte_Combes22	S100A8
ClassMonocyte_Combes22	S100A9
ClassMonocyte_Combes22	VCAN
ClassMonocyte_sc	CLEC4D
ClassMonocyte_sc	FCAR
ClassMonocyte_sc	MCEMP1
ClassMonocyte_sc	S100A12
Cytokine_CSF	CNTF
Cytokine_CSF	CSF1
Cytokine_CSF	CSF2
Cytokine_CSF	CSF3
Cytokine_CSF	FLT3LG
Cytokine_Chemokines	CCL1
Cytokine_Chemokines	CCL11
Cytokine_Chemokines	CCL13
Cytokine_Chemokines	CCL17
Cytokine_Chemokines	CCL19
Cytokine_Chemokines	CCL2
Cytokine_Chemokines	CCL20
Cytokine_Chemokines	CCL22
Cytokine_Chemokines	CCL24
Cytokine_Chemokines	CCL25
Cytokine_Chemokines	CCL26
Cytokine_Chemokines	CCL28
Cytokine_Chemokines	CCL7
Cytokine_Chemokines	CCL8
Cytokine_Chemokines	CX3CL1
Cytokine_Chemokines	CXCL1
Cytokine_Chemokines	CXCL10
Cytokine_Chemokines	CXCL11
Cytokine_Chemokines	CXCL12
Cytokine_Chemokines	CXCL13
Cytokine_Chemokines	CXCL14
Cytokine_Chemokines	CXCL16
Cytokine_Chemokines	CXCL17
Cytokine_Chemokines	CXCL2
Cytokine_Chemokines	CXCL3
Cytokine_Chemokines	CXCL5
Cytokine_Chemokines	CXCL6
Cytokine_Chemokines	CXCL8
Cytokine_Chemokines	CXCL9
Cytokine_Chemokines	SCGB3A1
Cytokine_Chemokines	XCL1
Cytokine_Chemokines	XCL2
Cytokine_GF	AIMP1
Cytokine_GF	ALKAL1
Cytokine_GF	BMP1
Cytokine_GF	BMP10
Cytokine_GF	BMP15
Cytokine_GF	BMP2
Cytokine_GF	BMP4
Cytokine_GF	BMP5
Cytokine_GF	BMP6
Cytokine_GF	BMP7
Cytokine_GF	BMP8A
Cytokine_GF	BMP8B
Cytokine_GF	FGF2
Cytokine_GF	GDF11
Cytokine_GF	GDF15
Cytokine_GF	GDF3
Cytokine_GF	GDF5
Cytokine_GF	GDF6
Cytokine_GF	GDF7
Cytokine_GF	GDF9
Cytokine_GF	GREM1
Cytokine_GF	GREM2
Cytokine_GF	INHBA
Cytokine_GF	INHBB
Cytokine_GF	INHBC
Cytokine_GF	INHBE
Cytokine_GF	KITLG
Cytokine_GF	LEFTY1
Cytokine_GF	MSTN
Cytokine_GF	MYDGF
Cytokine_GF	NAMPT
Cytokine_GF	NOG
Cytokine_GF	OSM
Cytokine_GF	SCG2
Cytokine_GF	TGFB3
Cytokine_GF	THPO
Cytokine_GF	VEGFA
Cytokine_GF	WNT1
Cytokine_GF	WNT10A
Cytokine_GF	WNT10B
Cytokine_GF	WNT16
Cytokine_GF	WNT2
Cytokine_GF	WNT2B
Cytokine_GF	WNT3
Cytokine_GF	WNT3A
Cytokine_GF	WNT4
Cytokine_GF	WNT5B
Cytokine_GF	WNT6
Cytokine_GF	WNT7A
Cytokine_GF	WNT9A
Cytokine_GF	WNT9B
Cytokine_IFNs	IFNA1
Cytokine_IFNs	IFNA10
Cytokine_IFNs	IFNA13
Cytokine_IFNs	IFNA14
Cytokine_IFNs	IFNA17
Cytokine_IFNs	IFNA2
Cytokine_IFNs	IFNA21
Cytokine_IFNs	IFNA4
Cytokine_IFNs	IFNA5
Cytokine_IFNs	IFNA6
Cytokine_IFNs	IFNA7
Cytokine_IFNs	IFNA8
Cytokine_IFNs	IFNB1
Cytokine_IFNs	IFNE
Cytokine_IFNs	IFNG
Cytokine_IFNs	IFNK
Cytokine_IFNs	IFNL1
Cytokine_IFNs	IFNL2
Cytokine_IFNs	IFNL3
Cytokine_IFNs	IFNW1
Cytokine_Ils	IL10
Cytokine_Ils	IL11
Cytokine_Ils	IL12B
Cytokine_Ils	IL15
Cytokine_Ils	IL16
Cytokine_Ils	IL17A
Cytokine_Ils	IL17B
Cytokine_Ils	IL17C
Cytokine_Ils	IL17F
Cytokine_Ils	IL18
Cytokine_Ils	IL19
Cytokine_Ils	IL1A
Cytokine_Ils	IL1B
Cytokine_Ils	IL1F10
Cytokine_Ils	IL1RN
Cytokine_Ils	IL2
Cytokine_Ils	IL20
Cytokine_Ils	IL21
Cytokine_Ils	IL22
Cytokine_Ils	IL23A
Cytokine_Ils	IL24
Cytokine_Ils	IL25
Cytokine_Ils	IL26
Cytokine_Ils	IL27
Cytokine_Ils	IL2RA
Cytokine_Ils	IL3
Cytokine_Ils	IL31
Cytokine_Ils	IL32
Cytokine_Ils	IL33
Cytokine_Ils	IL34
Cytokine_Ils	IL36A
Cytokine_Ils	IL36G
Cytokine_Ils	IL36RN
Cytokine_Ils	IL37
Cytokine_Ils	IL4
Cytokine_Ils	IL5
Cytokine_Ils	IL6
Cytokine_Ils	IL6R
Cytokine_Ils	IL7
Cytokine_Ils	IL9
Cytokine_TNF	CD40LG
Cytokine_TNF	FASLG
Cytokine_TNF	LTA
Cytokine_TNF	TNF
Cytokine_TNF	TNFRSF11B
Cytokine_TNF	TNFRSF9
Cytokine_TNF	TNFSF10
Cytokine_TNF	TNFSF11
Cytokine_TNF	TNFSF12
Cytokine_TNF	TNFSF13
Cytokine_TNF	TNFSF14
Cytokine_TNF	TNFSF15
Cytokine_TNF	TNFSF18
Cytokine_TNF	TNFSF4
Cytokine_TNF	TNFSF8
Cytokine_TNF	TNFSF9
CytotoxSig_Davoli	CD2
CytotoxSig_Davoli	CD247
CytotoxSig_Davoli	CD3E
CytotoxSig_Davoli	GZMH
CytotoxSig_Davoli	GZMK
CytotoxSig_Davoli	NKG7
CytotoxSig_Davoli	PRF1
CytotoxTcell_Jiang	CD8A
CytotoxTcell_Jiang	CD8B
CytotoxTcell_Jiang	GZMA
CytotoxTcell_Jiang	GZMB
CytotoxTcell_Jiang	PRF1
CytotoxTcell_sc	FGFBP2
CytotoxTcell_sc	GNLY
CytotoxTcell_sc	GZMA
CytotoxTcell_sc	GZMB
CytotoxTcell_sc	GZMH
CytotoxTcell_sc	KLRD1
CytotoxTcell_sc	MATK
CytotoxTcell_sc	NKG7
CytotoxTcell_sc	PRF1
CytotoxTcell_sc	SAMD3
Cytotoxic_l_Danaher17	CTSW
Cytotoxic_l_Danaher17	GNLY
Cytotoxic_l_Danaher17	GZMA
Cytotoxic_l_Danaher17	GZMB
Cytotoxic_l_Danaher17	GZMH
Cytotoxic_l_Danaher17	KLRB1
Cytotoxic_l_Danaher17	KLRD1
Cytotoxic_l_Danaher17	KLRK1
Cytotoxic_l_Danaher17	NKG7
Cytotoxic_l_Danaher17	PRF1
CytoxAct_Rooney	GZMA
CytoxAct_Rooney	PRF1
CytoxTcell_l_Li19	CX3CR1
CytoxTcell_l_Li19	FGFBP2
CytoxTcell_l_Li19	GNLY
CytoxTcell_l_Li19	GZMH
CytoxTcell_l_Li19	KLF2
CytoxTcell_l_Li19	TBX21
DNA_replication	FEN1
DNA_replication	LIG1
DNA_replication	MCM2
DNA_replication	MCM4
DNA_replication	MCM7
DNA_replication	POLD1
DNA_replication	POLE
DNA_replication	POLE3
DNA_replication	RFC2
DNA_replication	RNASEH2A
DNA_replication	RPA1
DualExpandedTcell_l_Wu20	ABI3
DualExpandedTcell_l_Wu20	AOAH
DualExpandedTcell_l_Wu20	CD8A
DualExpandedTcell_l_Wu20	CD8B
DualExpandedTcell_l_Wu20	CST7
DualExpandedTcell_l_Wu20	CTSW
DualExpandedTcell_l_Wu20	GNLY
DualExpandedTcell_l_Wu20	GZMA
DualExpandedTcell_l_Wu20	GZMB
DualExpandedTcell_l_Wu20	GZMH
DualExpandedTcell_l_Wu20	GZMM
DualExpandedTcell_l_Wu20	HCST
DualExpandedTcell_l_Wu20	HLA-C
DualExpandedTcell_l_Wu20	KLRC2
DualExpandedTcell_l_Wu20	KLRC4
DualExpandedTcell_l_Wu20	KLRD1
DualExpandedTcell_l_Wu20	KLRK1
DualExpandedTcell_l_Wu20	MATK
DualExpandedTcell_l_Wu20	NKG7
DualExpandedTcell_l_Wu20	PRF1
DualExpandedTcell_l_Wu20	ZNF683
EMT1	CDH1
EMT1	CLDN3
EMT1	CLDN4
EMT1	CLDN7
EMT1	TWIST1
EMT1	VIM
EMT1	ZEB1
EMT1	ZEB2
EMT2	AXL
EMT2	FAP
EMT2	LOXL2
EMT2	ROR2
EMT2	TAGLN
EMT2	TWIST2
EMT2	WNT5A
EMT3	FOXF1
EMT3	GATA6
EMT3	SOX9
EMT3	TWIST1
EMT3	ZEB1
EMT3	ZEB2
Endothelial_Kahn20	ANGPT2
Endothelial_Kahn20	CDH5
Endothelial_Kahn20	ERG
Endothelial_Kahn20	ESAM
Endothelial_Kahn20	ESM1
Endothelial_Kahn20	ICAM2
Endothelial_Kahn20	TIE1
Endothelial_sc	CDH5
Endothelial_sc	ECSCR
Endothelial_sc	FLT4
Endothelial_sc	KDR
Endothelial_sc	MYCT1
Endothelial_sc	TIE1
Eosinophil_sc	CCR3
Eosinophil_sc	CLC
Eosinophil_sc	EPX
Eosinophil_sc	FUT9
Eosinophil_sc	PRG2
Eosinophil_sc	RNASE2
Eosinophil_sc	RNASE3
Eosinophil_sc	SIGLEC8
